,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,更新日：2023年4月28日,,,
食　品　群,食　品　番　号,索　引　番　号,可　　食　　部　　 100　　g　　当　　た　　り,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,可　　食　　部　　 100　 g　　当　　た　　り,,,,,,,,,,,,,,,,,,,,,,,,,,,,備　　考,,,
,,,食　品　名,廃　棄　率,エネルギー,,水　分,たんぱく質,,脂質,,,炭水化物,,,,,,,,有機酸,"灰

分",無 機 質,,,,,,,,,,無機質,,,,ビ　　タ　　ミ　　ン　　,,,,,,,,,,,,,,,,,,,,,,アルコール,食塩相当量,,,,
,,,,,,,,"アミノ酸組成による
たんぱく質",たんぱく質,"脂肪酸の
トリアシルグリセロール当量",コレステロール,脂質,利用可能炭水化物,,,,,食物繊維総量,糖アルコール,炭水化物,,,ナ ト リ ウ ム,カ　リ　ウ　ム,カ ル シ ウ ム,マ グ ネ シ ウ ム,リ　ン,鉄,亜　鉛,銅,マ　ン　ガ　ン,,ヨ　ウ　素,セ　レ　ン,ク　ロ　ム,モリブデン,ビタミンA,,,,,,      ビタミンD,ビタミンE,,,,ビタミンK,"ビ
タ
ミ
ン
Ｂ１","ビ
タ
ミ
ン
B２",ナイアシン,ナイアシン当量,"ビ
タ
ミ
ン
Ｂ６","ビ
タ
ミ
ン
Ｂ１２",葉　酸,パントテン酸,ビ オ チ ン,ビタミンC,,,,,,
,,,,,,,,,,,,,"利用可能炭水化物
（単糖当量）",,"利用可能炭水化物
（質量計）","差引き法による
利用可能炭水化物　",,,,,,,,,,,,,,,,,,,,,,,,,,レチノール活性当量,,α|トコフェロール,β|トコフェロール,γ|トコフェロール,δ|トコフェロール,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,レチノール,,,,β|カロテン当量,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,α|カロテン,β|カロテン,β|クリプトキサンチン,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,単位,%,kJ,kcal,(…………… g ………………),,,,mg,(……………………………… g ……………………………),,,,,,,,,,,(…………………………… mg ……………………………),,,,,,,,,,(…………………………………… μg………………………………………),,,,,,,,,,,(………… mg …………),,,,μg,(…………… mg ……………),,,,,(…… μg……),,mg,μg,mg,(……g……),,,,,
,,,成分識別子,REFUSE,ENERC,ENERC_KCAL,WATER,PROTCAA,PROT-,FATNLEA,CHOLE,FAT-,CHOAVLM,,CHOAVL,CHOAVLDF-,,FIB-,POLYL,CHOCDF-,OA,ASH,NA,K,CA,MG,P,FE,ZN,CU,MN,,ID,SE,CR,MO,RETOL,CARTA,CARTB,CRYPXB,CARTBEQ,VITA_RAE,VITD,TOCPHA,TOCPHB,TOCPHG,TOCPHD,VITK ,THIA,RIBF,NIA,NE,VITB6A,VITB12,FOL,PANTAC,BIOT,VITC,ALC,NACL_EQ,,,,
17,17001,2284,＜調味料類＞　（ウスターソース類）　ウスターソース,0,497,117,61.3,0.7,1.0,Tr,-,0.1,24.1,,23.8,27.0,*,0.5,0,27.1,1.5,9.0,3300,190,59,24,11,1.6,0.1,0.10,-,,3,1,9,4,(0),10,41,0,47,4,(0),0.2,0.1,0,0,1,0.01,0.02,0.3,0.3,0.03,Tr,1,0.15,6.5,0,-,8.5,(100 g： 83.7 mL、100 mL： 119.5 g),,,
17,17002,2285,＜調味料類＞　（ウスターソース類）　中濃ソース,0,546,129,60.9,0.5,0.8,Tr,-,0.1,26.9,,26.6,30.1,*,1.0,0,30.9,1.3,6.3,2300,210,61,23,16,1.7,0.1,0.18,0.23,,3,1,7,3,(0),5,85,0,87,7,(0),0.5,0.1,Tr,0,2,0.02,0.04,0.4,0.4,0.04,Tr,1,0.18,5.8,(0),-,5.8,(100 g： 86 mL、100 mL： 116 g),,,
17,17003,2286,＜調味料類＞　（ウスターソース類）　濃厚ソース,0,552,130,60.7,-,0.9,-,-,0.1,(27.1),,(26.7),29.8,*,1.0,0,30.9,1.3,6.2,2200,210,61,26,17,1.5,0.1,0.23,0.23,,-,-,-,-,(0),14,100,0,110,9,(0),0.5,0.1,0.1,0,2,0.03,0.04,0.6,0.8,0.06,Tr,1,0.21,-,(0),-,5.6,,,,
17,17085,2287,＜調味料類＞　（ウスターソース類）　お好み焼きソース,0,610,144,58.1,1.3,1.6,Tr,Tr,0.1,29.6,,29.1,33.5,*,0.9,0,33.7,0.8,5.5,1900,240,31,20,28,0.9,0.2,0.10,0.13,,2,2,5,6,-,3,200,0,200,17,0,0.8,Tr,Tr,0,1,0.03,0.03,0.8,0.8,0.06,0.1,6,0.19,4.5,3,0,4.9,(100 g： 86 mL、100 mL： 117g),,,
17,17004,2288,＜調味料類＞　（辛味調味料類）　トウバンジャン,0,205,49,69.7,-,2.0,1.8,3,2.3,-,,-,4.1,*,4.3,-,7.9,-,18.1,7000,200,32,42,49,2.3,0.3,0.13,0.28,,-,-,-,-,(0),21,1400,-,1400,120,(0),3.0,0.1,1.1,0.4,12,0.04,0.17,1.0,1.3,0.20,0,8,0.24,-,3,-,17.8,(100 g： 88 mL、100 mL： 113g),,,
17,17005,2289,＜調味料類＞　（辛味調味料類）　チリペッパーソース,0,246,58,84.1,(0.5),0.7,(0.4),-,0.5,-,,-,13.1,*,-,-,12.8,-,1.9,630,130,15,13,24,1.5,0.1,0.08,0.10,,-,-,-,-,(0),62,1400,250,1600,130,(0),-,-,-,-,-,0.03,0.08,0.3,(0.5),-,-,-,-,-,0,-,1.6,タバスコソース等を含む,,,
17,17006,2290,＜調味料類＞　（辛味調味料類）　ラー油,0,3648,887,0.1,-,0.1,(97.5),(0),99.8,-,,-,2.3,*,-,-,Tr,-,Tr,Tr,Tr,Tr,Tr,Tr,0.1,Tr,0.01,-,,-,-,-,-,(0),0,570,270,710,59,(0),3.7,0.1,48.0,1.2,5,0,0,0.1,0.1,-,-,-,-,-,(0),-,0,使用油配合割合： ごま油 8、 とうもろこし油 2,,,
